filing_id,span_id
0000018230-26-000008,0000018230-26-000008|section_38
0000018230-26-000017,0000018230-26-000017|section_1
0000318154-26-000010,0000318154-26-000010|section_53
0000318154-26-000010,0000318154-26-000010|section_39
0000318154-26-000097,0000318154-26-000097|section_1
0000858877-25-000150,0000858877-25-000150|section_0
0000858877-26-000057,0000858877-26-000057|section_1
0000858877-26-000075,0000858877-26-000075|section_4
0001104659-26-036366,0001104659-26-036366|section_0
0001104659-26-061130,0001104659-26-061130|section_1
0001104659-26-072929,0001104659-26-072929|section_1
0001104659-26-076836,0001104659-26-076836|section_1
0001163165-26-000009,0001163165-26-000009|section_13
0001163165-26-000009,0001163165-26-000009|section_15
0001193125-26-145588,0001193125-26-145588|section_0
0001193125-26-232786,0001193125-26-232786|section_1
0001308179-26-000358,0001308179-26-000358|section_0
0001628280-26-020172,0001628280-26-020172|section_2
0001628280-26-020172,0001628280-26-020172|section_1
0001744489-25-000155,0001744489-25-000155|section_47
0001744489-26-000013,0001744489-26-000013|section_0
